"","trI","method","n"
"1",166.962348435964,"UNIF",600
"2",168.310546755272,"MORE(A-opt)",600
"3",166.313530940089,"MORE(L-opt)",600
"4",182.844034456236,"LEV",600
"5",179.463602044225,"DKDO",600
"6",168.800236742529,"UNIF",800
"7",170.545376621588,"MORE(A-opt)",800
"8",167.353775304826,"MORE(L-opt)",800
"9",203.89784650012,"LEV",800
"10",201.324501240067,"DKDO",800
"11",167.933756765036,"UNIF",1000
"12",172.212213880282,"MORE(A-opt)",1000
"13",167.761589243378,"MORE(L-opt)",1000
"14",216.748907338062,"LEV",1000
"15",215.071990463321,"DKDO",1000
"16",168.298989540213,"UNIF",1500
"17",173.906816777948,"MORE(A-opt)",1500
"18",168.927188311176,"MORE(L-opt)",1500
"19",239.051134873775,"LEV",1500
"20",238.86867544822,"DKDO",1500
"21",169.419045012268,"UNIF",2000
"22",174.800338574798,"MORE(A-opt)",2000
"23",169.791823228454,"MORE(L-opt)",2000
"24",255.334904102547,"LEV",2000
"25",254.481058493157,"DKDO",2000
"26",169.569524993538,"UNIF",2500
"27",176.871088569719,"MORE(A-opt)",2500
"28",171.576068969214,"MORE(L-opt)",2500
"29",266.953023817377,"LEV",2500
"30",266.220919552587,"DKDO",2500
"31",168.470341427065,"UNIF",3000
"32",179.848755033383,"MORE(A-opt)",3000
"33",174.20356960307,"MORE(L-opt)",3000
"34",275.458854157874,"LEV",3000
"35",274.815549048235,"DKDO",3000
"36",167.232388253294,"UNIF",3500
"37",176.013610479977,"MORE(A-opt)",3500
"38",170.748229647343,"MORE(L-opt)",3500
"39",279.551957548365,"LEV",3500
"40",278.811096619387,"DKDO",3500
"41",167.886175135065,"UNIF",4000
"42",175.483943889177,"MORE(A-opt)",4000
"43",170.481692883159,"MORE(L-opt)",4000
"44",285.16741073249,"LEV",4000
"45",284.760719737588,"DKDO",4000
"46",167.988860540136,"UNIF",4500
"47",179.586155131055,"MORE(A-opt)",4500
"48",173.627231719349,"MORE(L-opt)",4500
"49",290.794252256815,"LEV",4500
"50",290.495209580424,"DKDO",4500
"51",168.613996013314,"UNIF",5000
"52",179.000713852953,"MORE(A-opt)",5000
"53",173.338496432956,"MORE(L-opt)",5000
"54",296.392012480248,"LEV",5000
"55",295.451345194798,"DKDO",5000
