"","mse","err","Methods","n"
"1",4.76356247894209,0.4407912,"OSMAC",2500
"2",4.27394445556911,0.4396384,"OSMAC",5000
"3",3.99798404232932,0.4392804,"OSMAC",10000
"4",3.94808228056917,0.4394572,"OSMAC",15000
"5",3.73224880656125,0.4391499,"OSMAC",20000
"6",3.057893554359,0.4399948,"MORE",2500
"7",2.6563171101898,0.4392746,"MORE",5000
"8",2.56887304822631,0.4388074,"MORE",10000
"9",2.51030228472851,0.4386284,"MORE",15000
"10",2.50627029562263,0.4388724,"MORE",20000
"11",2.51959025011679,0.4362359,"IBOSS",2500
"12",1.95361371493637,0.4348507,"IBOSS",5000
"13",1.5133563675305,0.433976,"IBOSS",10000
"14",1.32851193931431,0.433661,"IBOSS",15000
"15",1.30360563441363,0.4336429,"IBOSS",20000
"16",1.39568251487461,0.4346202,"LEV",2500
"17",0.916674235063125,0.4333552,"LEV",5000
"18",0.579289200435421,0.4326243,"LEV",10000
"19",0.476504385121309,0.4324931,"LEV",15000
"20",0.398610163498664,0.4322977,"LEV",20000
"21",1.49754119937678,0.4348179,"DKDO",2500
"22",0.993636276153303,0.4334971,"DKDO",5000
"23",0.647775375445081,0.4328742,"DKDO",10000
"24",0.54836678117842,0.4327013,"DKDO",15000
"25",0.450212201600889,0.4324108,"DKDO",20000
"26",0.885899321180706,0.4334436,"FULL",2500
"27",0.415186431153385,0.4322217,"FULL",5000
"28",0.211385138480481,0.4317318,"FULL",10000
"29",0.139796473384812,0.4316259,"FULL",15000
"30",0.100816918953619,0.4315105,"FULL",20000
