"","nNA","parmse","parsd","errmean","errsd","tmean","Method","k"
"1",0.316,52.2232779316461,50.541894123023,0.0283999004603708,0.00492800422746069,0.00304824561403514,"OSMAC",300
"2",0.326,18.8789331062447,19.3147521851475,0.027076023919259,0.00450143217431082,0.00456379821958457,"OSMAC",500
"3",0.322,15.0814471229414,18.8799618089487,0.0264739549243409,0.00468642249479024,0.00302507374631263,"OSMAC",700
"4",0.336,17.9585231906056,24.3830307802796,0.0268398823256552,0.00456303770994656,0.00321536144578313,"OSMAC",1000
"5",0.315,19.8344679855625,33.1894644836997,0.0270036015648688,0.00483070292006832,0.0033299270072993,"OSMAC",1200
"6",0.35,19.6521856916904,34.5458168403591,0.0268303327877796,0.00519065746153654,0.00368307692307693,"OSMAC",1500
"7",0.329,1912.65569553636,38030.6758369976,0.0267803351165751,0.00470760083397432,0.00228763040238456,"MORE",300
"8",0.301,333.605104327033,4041.01918758588,0.0272063289139355,0.0119870112742832,0.00340200286123033,"MORE",500
"9",0.304,250.107865058277,1902.3249289222,0.0263686545784858,0.00482644564923197,0.00246982758620685,"MORE",700
"10",0.284,919.624794295984,10922.9720728736,0.0265348978055504,0.00498603952292275,0.00249441340782125,"MORE",1000
"11",0.302,580.651718713645,10018.4432431564,0.0264774446021779,0.00466849506858046,0.00232378223495701,"MORE",1200
"12",0.302,2388.8151237807,52448.0638381491,0.026419383213872,0.00521116535111582,0.00235816618911175,"MORE",1500
"13",0.284,288.707111347045,1063.40773057432,0.0337558653557703,0.00696844851137364,0.00515502793296087,"IBOSS",300
"14",0.291,413.28452400101,7084.62583419325,0.0271812833406928,0.0048084578297293,0.00579548660084626,"IBOSS",500
"15",0.274,541.104564463128,8306.21704873487,0.0268992773828364,0.0048407104078188,0.00450137741046831,"IBOSS",700
"16",0.3,241.63965277809,1709.27336780864,0.0268128528006947,0.00454658737240467,0.0044985714285714,"IBOSS",1000
"17",0.297,6880.96533123008,146891.248334633,0.0269909967558344,0.00503806182479448,0.00467709815078239,"IBOSS",1200
"18",0.293,353.796166794799,4083.28168698287,0.0272080182399482,0.0047236532923696,0.00454031117397461,"IBOSS",1500
"19",0.295,106.964230788114,211.970709585682,0.0273944254025739,0.00476597646022865,0.0411120567375886,"LEV",300
"20",0.286,11.3552560253289,16.2576778387364,0.0263197477572589,0.00446794754084445,0.0424327731092438,"LEV",500
"21",0.33,5.98248744949072,7.5794419849003,0.0260158175686915,0.00455103692256409,0.0417432835820895,"LEV",700
"22",0.281,4.47292984382964,5.08835533281676,0.0259366197282334,0.00432250813060153,0.0424784422809458,"LEV",1000
"23",0.294,3.79124994956614,3.63737525097519,0.0259363223319585,0.00445513696792952,0.0424192634560906,"LEV",1200
"24",0.3,3.36410674233669,3.25443249930276,0.0258228397742076,0.00433676612773661,0.0429928571428571,"LEV",1500
"25",0.308,426.93238596581,867.782004969283,0.0291418498281123,0.00513432614160342,0.0082789017341041,"DKDO",300
"26",0.275,52.1610334125999,93.7225985636346,0.0273150962512665,0.00472644213410443,0.00865517241379305,"DKDO",500
"27",0.292,14.4535263163696,22.6226822061326,0.0261721589705722,0.00436771481048753,0.00865819209039547,"DKDO",700
"28",0.323,6.11885875437209,7.33523523319146,0.0261434093735549,0.00439612799718282,0.00938552437223043,"DKDO",1000
"29",0.295,4.73153217201953,5.05162283889234,0.0260909554707653,0.00434265735153645,0.00945248226950356,"DKDO",1200
"30",0.314,3.98361985703639,4.11303047280916,0.0259230048945327,0.00425373864215436,0.00973906705539358,"DKDO",1500
"31",0,2.4821846363538,2.47147902490673,0.0259250253292806,0.00436755997665577,0.00381400000000003,"FULL",300
"32",0,2.4821846363538,2.47147902490673,0.0259250253292806,0.00436755997665577,0.00381400000000003,"FULL",500
"33",0,2.4821846363538,2.47147902490673,0.0259250253292806,0.00436755997665577,0.00381400000000003,"FULL",700
"34",0,2.4821846363538,2.47147902490673,0.0259250253292806,0.00436755997665577,0.00381400000000003,"FULL",1000
"35",0,2.4821846363538,2.47147902490673,0.0259250253292806,0.00436755997665577,0.00381400000000003,"FULL",1200
"36",0,2.4821846363538,2.47147902490673,0.0259250253292806,0.00436755997665577,0.00381400000000003,"FULL",1500
